UF,indice_pim_sem_ajuste,indice_pim _com_ajuste_sazonal,Segmentação,mês,ano
Brasil,126.59411,121.183772,Indústrias de transformação,9,2013
Brasil,96.59313,98.28568051,Indústrias de transformação,3,2016
Brasil,90.30612,99.89026309,Indústrias de transformação,12,2022
Brasil,85.95758,97.29699822,Indústrias de transformação,12,2016
Brasil,90.0405,92.23734667,Indústrias de transformação,3,2020
Brasil,116.42738,114.493061,Indústrias de transformação,3,2012
Brasil,121.36179,114.1649185,Indústrias de transformação,7,2014
Brasil,120.38064,121.2802803,Indústrias de transformação,4,2013
Brasil,101.9312,99.95293591,Indústrias de transformação,11,2022
Brasil,67.29175,71.07264197,Indústrias de transformação,4,2020
Brasil,98.40583,103.6142508,Indústrias de transformação,3,2025
